time	x	y	r_ag	h_ag	r_bg	h_bg	growth	ag_resources	bg_resources	inc_r_ag	inc_h_ag	inc_r_bg	inc_h_bg	w_r_ag	w_h_ag	w_r_bg	w_h_bg
10627200	10	11	0.372715004	1.480860015	0.241388217	0.561572506	0.034558706	1	1	0	0	0	0	0.14	0.56	0.09	0.21
10713600	10	11	0.372715004	1.480860015	0.241388217	0.561572506	0.034558706	1	1	0	0	0	0	0.14	0.56	0.09	0.21
10800000	10	11	0.372715004	1.480860015	0.241388217	0.561572506	0.034558706	1	1	0	0	0	0	0.14	0.56	0.09	0.21
10886400	10	11	0.372715004	1.480860015	0.241388217	0.561572506	0.034558706	1	1	0	0	0	0	0.14	0.56	0.09	0.21
10972800	10	11	0.372715004	1.480860015	0.241388217	0.561572506	0.034558706	1	1	0	0	0	0	0.14	0.56	0.09	0.21
11059200	10	11	0.372715004	1.480860015	0.241388217	0.561572506	0.034558706	1	1	0	0	0	0	0.14	0.56	0.09	0.21
11145600	10	11	0.372715004	1.480860015	0.241388217	0.561572506	0.034558706	1	1	0	0	0	0	0.14	0.56	0.09	0.21
11232000	10	11	0.372715004	1.480860015	0.241388217	0.561572506	0.034558706	1	1	0	0	0	0	0.14	0.56	0.09	0.21
11318400	10	11	0.372715004	1.480860015	0.241388217	0.561572506	0.034558706	1	1	0	0	0	0	0.14	0.56	0.09	0.21
11404800	10	11	0.372715004	1.480860015	0.241388217	0.561572506	0.034558706	1	1	0	0	0	0	0.14	0.56	0.09	0.21
11491200	10	11	0.372715004	1.480860015	0.241388217	0.561572506	0.034558706	1	1	0	0	0	0	0.14	0.56	0.09	0.21
11577600	10	11	0.372715004	1.480860015	0.241388217	0.561572506	0.034558706	1	1	0	0	0	0	0.14	0.56	0.09	0.21
11664000	10	11	0.372715004	1.480860015	0.241388217	0.561572506	0.034558706	1	1	0	0	0	0	0.14	0.56	0.09	0.21
11750400	10	11	0.372715004	1.480860015	0.241388217	0.561572506	0.034558706	1	1	0	0	0	0	0.14	0.56	0.09	0.21
11836800	10	11	0.372715004	1.480860015	0.241388217	0.561572506	0.034558706	1	1	0	0	0	0	0.14	0.56	0.09	0.21
11923200	10	11	0.372715004	1.480860015	0.241388217	0.561572506	0.034558706	1	1	0	0	0	0	0.14	0.56	0.09	0.21
12009600	10	11	0.372715004	1.480860015	0.241388217	0.561572506	0.034558706	1	1	0	0	0	0	0.14	0.56	0.09	0.21
12096000	10	11	0.372715004	1.480860015	0.241388217	0.561572506	0.034558706	1	1	0	0	0	0	0.14	0.56	0.09	0.21
12182400	10	11	0.372715004	1.480860015	0.241388217	0.561572506	0.034558706	1	1	0	0	0	0	0.14	0.56	0.09	0.21
12268800	10	11	0.372715004	1.480860015	0.241388217	0.561572506	0.034558706	1	1	0	0	0	0	0.14	0.56	0.09	0.21
12355200	10	11	0.372715004	1.480860015	0.241388217	0.561572506	0.034558706	1	1	0	0	0	0	0.14	0.56	0.09	0.21
12441600	10	11	0.372715004	1.480860015	0.241388217	0.561572506	0.034558706	1	1	0	0	0	0	0.14	0.56	0.09	0.21
12528000	10	11	0.372715004	1.480860015	0.241388217	0.561572506	0.034558706	1	1	0	0	0	0	0.14	0.56	0.09	0.21
12614400	10	11	0.372715004	1.480860015	0.241388217	0.561572506	0.034558706	1	1	0	0	0	0	0.14	0.56	0.09	0.21
12700800	10	11	0.372715004	1.480860015	0.241388217	0.561572506	0.034558706	1	1	0	0	0	0	0.14	0.56	0.09	0.21
12787200	10	11	0.372715004	1.480860015	0.241388217	0.561572506	0.034558706	1	1	0	0	0	0	0.14	0.56	0.09	0.21
12873600	10	11	0.372715004	1.480860015	0.241388217	0.561572506	0.034558706	1	1	0	0	0	0	0.14	0.56	0.09	0.21
12960000	10	11	0.372715004	1.480860015	0.241388217	0.561572506	0.034558706	1	1	0	0	0	0	0.14	0.56	0.09	0.21
13046400	10	11	0.372715004	1.480860015	0.241388217	0.561572506	0.034558706	1	1	0	0	0	0	0.14	0.56	0.09	0.21
13132800	10	11	0.372715004	1.480860015	0.241388217	0.561572506	0.034558706	1	1	0	0	0	0	0.14	0.56	0.09	0.21
13219200	10	11	0.372715004	1.480860015	0.241388217	0.561572506	0.034558706	1	1	0	0	0	0	0.14	0.56	0.09	0.21
13305600	10	11	0.372715004	1.480860015	0.241388217	0.561572506	0.034558706	1	1	0	0	0	0	0.14	0.56	0.09	0.21
13392000	10	11	0.372715004	1.480860015	0.241388217	0.561572506	0.034558706	1	1	0	0	0	0	0.14	0.56	0.09	0.21
13478400	10	11	0.372715004	1.480860015	0.241388217	0.561572506	0.034558706	1	1	0	0	0	0	0.14	0.56	0.09	0.21
13564800	10	11	0.372715004	1.480860015	0.241388217	0.561572506	0.034558706	1	1	0	0	0	0	0.14	0.56	0.09	0.21
13651200	10	11	0.372715004	1.480860015	0.241388217	0.561572506	0.034558706	1	1	0	0	0	0	0.14	0.56	0.09	0.21
13737600	10	11	0.372715004	1.480860015	0.241388217	0.561572506	0.034558706	1	1	0	0	0	0	0.14	0.56	0.09	0.21
13824000	10	11	0.372715004	1.480860015	0.241388217	0.561572506	0.034558706	1	1	0	0	0	0	0.14	0.56	0.09	0.21
13910400	10	11	0.372715004	1.480860015	0.241388217	0.561572506	0.034558706	1	1	0	0	0	0	0.14	0.56	0.09	0.21
13996800	10	11	0.372715004	1.480860015	0.241388217	0.561572506	0.034558706	1	1	0	0	0	0	0.14	0.56	0.09	0.21
14083200	10	11	0.372715004	1.480860015	0.241388217	0.561572506	0.034558706	1	1	0	0	0	0	0.14	0.56	0.09	0.21
14169600	10	11	0.372715004	1.480860015	0.241388217	0.561572506	0.034558706	1	1	0	0	0	0	0.14	0.56	0.09	0.21
14256000	10	11	0.372715004	1.480860015	0.241388217	0.561572506	0.034558706	1	1	0	0	0	0	0.14	0.56	0.09	0.21
14342400	10	11	0.372715004	1.480860015	0.241388217	0.561572506	0.034558706	1	1	0	0	0	0	0.14	0.56	0.09	0.21
14428800	10	11	0.372715004	1.480860015	0.241388217	0.561572506	0.034558706	1	1	0	0	0	0	0.14	0.56	0.09	0.21
14515200	10	11	0.372715004	1.480860015	0.241388217	0.561572506	0.034558706	1	1	0	0	0	0	0.14	0.56	0.09	0.21
14601600	10	11	0.372715004	1.480860015	0.241388217	0.561572506	0.034558706	1	1	0	0	0	0	0.14	0.56	0.09	0.21
14688000	10	11	0.372715004	1.480860015	0.241388217	0.561572506	0.034558706	1	1	0	0	0	0	0.14	0.56	0.09	0.21
14774400	10	11	0.372715004	1.480860015	0.241388217	0.561572506	0.034558706	1	1	0	0	0	0	0.14	0.56	0.09	0.21
14860800	10	11	0.372715004	1.480860015	0.241388217	0.561572506	0.034558706	1	1	0	0	0	0	0.14	0.56	0.09	0.21
14947200	10	11	0.372715004	1.480860015	0.241388217	0.561572506	0.034558706	1	1	0	0	0	0	0.14	0.56	0.09	0.21
15033600	10	11	0.372715004	1.480860015	0.241388217	0.561572506	0.034558706	1	1	0	0	0	0	0.14	0.56	0.09	0.21
15120000	10	11	0.372715004	1.480860015	0.241388217	0.561572506	0.034558706	1	1	0	0	0	0	0.14	0.56	0.09	0.21
15206400	10	11	0.372715004	1.480860015	0.241388217	0.561572506	0.034558706	1	1	0	0	0	0	0.14	0.56	0.09	0.21
15292800	10	11	0.372715004	1.480860015	0.241388217	0.561572506	0.034558706	1	1	0	0	0	0	0.14	0.56	0.09	0.21
15379200	10	11	0.372715004	1.480860015	0.241388217	0.561572506	0.034558706	1	1	0	0	0	0	0.14	0.56	0.09	0.21
15465600	10	11	0.372715004	1.480860015	0.241388217	0.561572506	0.034558706	1	1	0	0	0	0	0.14	0.56	0.09	0.21
15552000	10	11	0.372715004	1.480860015	0.241388217	0.561572506	0.034558706	1	1	0	0	0	0	0.14	0.56	0.09	0.21
15638400	10	11	0.372715004	1.480860015	0.241388217	0.561572506	0.034558706	1	1	0	0	0	0	0.14	0.56	0.09	0.21
15724800	10	11	0.372715004	1.480860015	0.241388217	0.561572506	0.034558706	1	1	0	0	0	0	0.14	0.56	0.09	0.21
15811200	10	11	0.372715004	1.480860015	0.241388217	0.561572506	0.034558706	1	1	0	0	0	0	0.14	0.56	0.09	0.21
15897600	10	11	0.372715004	1.480860015	0.241388217	0.561572506	0.034558706	1	1	0	0	0	0	0.14	0.56	0.09	0.21
15984000	10	11	0.372715004	1.480860015	0.241388217	0.561572506	0.034558706	1	1	0	0	0	0	0.14	0.56	0.09	0.21
